Key,Value
en,Reminds me of a joke Heino song on Instagram about a gypsy girl who fingerd him with her pinky finger
en,he promotion for this new era is nothing short of incredible
en,"All these fools though him dead, be dead themselves, MM just returned from the dead"
en,"somewhat looked at in a taboo way. Now, i realise in my older years"
en,ansons music must mean so much to hera lot to me too but look those tattoo
en,A song about Lisa Marie Presley?
en,"This album doesn’t deserve all the hate it gets, (apart from Tattooed In Reverse) same goes for Born Villain, EAT ME, DRINK ME and High End Of Low"
en,Not a fan but luv this fuckin tune
en,Baby I want you to teach me how to use a  and the piano.
en,Love it...this is powerful
en,"The footage of them dissing each other on stage, was well... staged."
en,"Man, this song really sounds like another song, the name of which I do not know. Can someone please enlighten me?"
en,Good to see him still making socially relevant music smart guy and terrific
en,pretty are always kept behind glass to defend herself from kids making
en,"drives behind and the guitar just winks, the synth completes everything"
en,"Why is this masterpiece so underrated?
Just 3m"
en,His voice is only becoming gold over the years! MM fan for life
en,"voice drives behind and the guitar just winks, the synth completes everythin"
en,MM is the best of THEM
en,I don't know what I'd do without MM...The world fucked me and I navigated back to him 
en,When the system killed your heart and took your children and you stand broken screaming FUCK THE WORLD 
en,I love Marilyn manson
en,She a nimpho I'm done share her Cleveland giggling to myself dead! Doctor music said..scene out
en,"good old days - epic wars, razing entire towns, remorseless slaughter"
en,hat he can still deliver a great piece of work The guy lost his parent
en,aven't felt these goosebumps since Holy Woo! Keep kicking ass my dude
en,"The last part is what I had inside me for a very few girls I dated till got married, including my wife. The only difference was it was/is a death dream for me. You never get appreciated for being nice and kind"
en,"yrically and musically, they are all masterpieces Will always be a fan"
en,some of the darkest music will bring some people out of the darkest places
en,"I love listening to him talk in interviews, his voice sounds so good"
en,never forget all your fans who will never have the chance
en,But Manson is on a whole other like dimension or level than any of those artists
en,ppreciate the “everything’s fucked but that’s not so bad” vibe of this song
en,My new favorite song…love how the bass drills
en,Love him or hate him I'm not sure how someone could not be deeply moved
en,"approaching this sound our entire lives, mission is complete, respect is immesurable"
en,masterpiece by reminding us hes not washed up and here to give us good music
en,But I can already tell that this one is my favorite Classic Manson vibes
en,Really needed this in my life right now. It's all gonna be okay folks
en,51 years old and still rockin that goth look much respect to marilyn Manson
en,Holy sh**!! How many bitches know that you are dead? Wooot!
en,Great respect for everything you do We stand with you and support you
en,"can still listen with enjoyment almost as much as my angsty, hormonal teenage self"
en,Every now and then He can explain what I want to say better then me..
en,Great respect for everything you do We stand with you and support you
en,"It’s so perfect from start to end and this song really speaks to me, thanks MM"
en,Slap of wrist 4 sum just ain't ENUF.  
en,Slap of wrist 4 sum just ain't ENUF.  
en,Slap of wrist 4 sum just ain't ENUF.  
en,Slap of wrist 4 sum just ain't ENUF.  
en,Slap of wrist 4 sum just ain't ENUF.  
en,Slap of wrist 4 sum just ain't ENUF.  
en,"Not a Manson fan in general but even I have to admit, when he's good, he's VERY f##king good."
en,I love Marilyn Manson and I don't care who hates him.
en,Shit is terrifying!!! cant stop listening! i already have my copy!
en,Is the nose plate Johnny Depp's Nose piece from The Libertine?
en,His voice is amazing and this song is something else! His moves here are giving some Robert Smith vibes (Friday I'm in Love).
en,"When I play marilyn manson, I know I'm at home, they just carry the problems I've been experiencing  "
en,I LOVE THIS MANS VOICE 
en,If only he had played the joker.
en,"It's a shame what's happening to you, Marilyn. You probably won't even answer me. But if at any time you come to Argentina, you will get everything you want from me."
en,"I can't wait  for you return with new songs, new vids and the most important, see you again. I love you MM, i hope you doing well."
en,Wizard of Dark Delights. Bring me the head of the snake charmer....
en,"Call me crazy but I think this song is about his old friend Lisa Marie Presley. I think he loved her as more than a friend but like he sings ""I don't wanna be another bullet hole in the exit sign on your road""."
en,"Marilyn Manson,the greatest shock rocker in the world. He took the Alice Cooper show further and I love both of them."
en,"Hey man, your vid iq score is 66.6 :D LOL"
en,How do you know that Daddy the song that was just played
en,"I used too like him as an artist, i  wish he could come out and clear the alligations. . His a ghost now. Maybe in this song he was predicting his own demise ."
en,i remember reading his bio yall remember the slingshot at church ?
en,"Yes I did a love potion on you baby, he giggling, where? I will never tell hahahaha laughing to myself right dig it up again baby said lmfao laughing my fcking arse off pinkie scene out so that's what yous want the owner of the house said..right Joe sort them out giggling ..."
en,I'm appalled by this and seriously disappointed in #johnnydepp. Doesn't help your reputation at all
en,This fuck is the reason for all the disgusting homosexuals who've invaded and destroyed my life. The ones who had him record this plagiarized trash just to help make me sound delusional to cover up their crimes. Celebrities are mob goons. Crime puppets. The entire media exists to ruin lives and hide the covert war.
en,This fuck is the reason for all the disgusting homosexuals who've invaded and destroyed my life. The ones who had him record this plagiarized trash just to help make me sound delusional to cover up their crimes. Celebrities are mob goons. Crime puppets. The entire media exists to ruin lives and hide the covert war.
en,"Lord Jesus Christ, come quickly..."
en,Daryl Dixon: The Musical coming soon...
en,He's A Beautiful Son Of Devil
en,Came here to numb some pain. Who's with me?
