performer,user_name,comment,video_id,likes_count
MarilynManson,Amanda McGrath,Im Agod,VdV1Zc_PFdg,0
MarilynManson,Amanda McGrath,im changing my name as soon as possible,VdV1Zc_PFdg,0
MarilynManson,Felixdragon0,My dad is can play this song with a guitar cover,VdV1Zc_PFdg,1
MarilynManson,Paige Barnum,I will make you feel happy Daddy I will make love to you for hours and all day and night to morning and over and over again all your fantasies I will give it to you.,6onWKxii50g,1
MarilynManson,Paige Barnum,It's like I remember meeting you in a past life or something.,AgH1zQBmv1Q,0
MarilynManson,Paige Barnum,I'm gonna go thru those pics and I swear this man years ago  I met looked exactly like you and I was 16 or 17.,AgH1zQBmv1Q,0
MarilynManson,Dragon Solitaire,Magnifique voix et magnifique musique !!,VdV1Zc_PFdg,0
MarilynManson,Glen Burnout,Smithline flipped!!!,FniF0kSvWGg,0
MarilynManson,Anthony A,0:21  You just can't help but clap along with him... It's too good. :),VdV1Zc_PFdg,0
MarilynManson,JJ Russell,"Now ⁉️👁️.  Marilyn Manson, Heaven Upside Down ⁉️👁️.          Being that My Father told you Not To Be Messing around with Any Works of the Devil 😈.            Do you have anything else, that you would like to add to that, Before My Father Passes Down Your Final Judgment ⁉️👁️.        I'm Waiting ⁉️👁️",z-69izECa-g,0
MarilynManson,Ivan M,Norman Reedus looks bad ass as fuck. He seems pissed off. Kinda scary. Can't think of anyone better than him to be in a same video with MM. Fuck yeah man.,FniF0kSvWGg,0
MarilynManson,Nelson Mantilla León,I could be the Cupid of your abortions. Teach you the one month experience and so on and so on…😮,PSMj1C9B_JY,0
MarilynManson,DisappointingPorn,This man just being his simple self has so many layers. I just love watching him and his art.,VdV1Zc_PFdg,0
MarilynManson,POWER GUIDO,WE NEED A NEW ALBUM! PLEASE RELEASED IT!!!,FniF0kSvWGg,0
MarilynManson,The Bug Bouncer Luikart Skarda Super Hero,Straight to the dumpster,m3-TSKKRaJA,0
MarilynManson,Mark and Sandie In Motion.,"The music is so awesome, what a great band behind him.",VdV1Zc_PFdg,0
MarilynManson,Esther Hamalka,Joker 😀,VdV1Zc_PFdg,0
MarilynManson,Spellbound Tarot,"IT’S YOUR TURN NOW, LIKE JOHNNY, TO WIN. ❤️
Will forever love and support u.",otSSwS_Nh9A,0
MarilynManson,Johhny jolai channel,You goes 💀💀☠️☠️🤓🥸🤧🤧🤢🥶🤑🤑🤠🥸🤧🤒👹👺😈🎃🤖💢🙉😽🎉💯😺😿😺🎊🎊💜💌💕💓💓💗💙💀👀🤝✋👊👊👍👃🦶😽😿😺🙈💀💀🦶💕👍👊✋💓👃💢🤠🎃😈😈😈👺😈,FniF0kSvWGg,0
MarilynManson,leo oddballs,Thank  you sir,m3-TSKKRaJA,0
MarilynManson,Nancy Johnson,Absolutely gold,VdV1Zc_PFdg,0
MarilynManson,Kathrin Buchborn,You have a old house i see so can we new so have i a home too,FniF0kSvWGg,0
MarilynManson,Kathrin Buchborn,I by me at home when want you is our see we wrong,FniF0kSvWGg,0
MarilynManson,Kathrin Buchborn,Think you jes is it right you have think i in dangeroures jes this is what it is this bathroom without eindow not my new home want paper house not so i tell left side jes their end money mean paper house,FniF0kSvWGg,0
MarilynManson,Carl grahan Gahan,Hes great writer songs in my view,VdV1Zc_PFdg,1
