performer,user_name,comment,video_id,likes_count
Slipknot,ivushka,fuck maggots,XEEasR7hVhA,0
Slipknot,ราชาแมว palm,..,V3ADK6gsDGg,0
Slipknot,ivushka,fuck maggots,WLubS6QOMsQ,0
Slipknot,Visca el Barça•,🤘🏻🤘🏻🤘🏻🇪🇦,WLubS6QOMsQ,0
Slipknot,Visca el Barça•,It's 2023 and it's still a masterpiece! It never goes out of style.,WLubS6QOMsQ,0
Slipknot,Visca el Barça•,🤘🏻🤘🏻🇪🇦,m3I3-KTJbtY,0
Slipknot,Visca el Barça•,2023 and this still hits like it just came out!!,m3I3-KTJbtY,0
Slipknot,Maria Baltac,S-o cool🖤✌,TPSenKymLwk,0
Slipknot,what.if.god.doesn't.care.,You! Can't! Kill! Me! Cuz I'm! Al! Ready! Inside you.,m3I3-KTJbtY,1
Slipknot,Mileena Vibes,"R.I.P Paul Gray 1972 - 2010 🖤🖤🖤
R.I.P Joey Jordison 1975 - 2021 🖤🖤🖤",qw2LU1yS7aw,0
Slipknot,what.if.god.doesn't.care.,"Love them or hate them, this band changed the history of Metal/Rock.",4wgP2DKSIfg,0
Slipknot,spezi,The first 8 minutes are the most intense,90tMJjWQTBQ,0
Slipknot,Jelly Rolls,Tickle tickle,LXEKuttVRIo,0
Slipknot,joaofellipe999,Instrumentais belos como sempre,fu3-3Yr5PPE,0
Slipknot,Drift-Tastik,Sucks,fu3-3Yr5PPE,0
Slipknot,VALEN723,pikachu is a virgin,5abamRO41fE,0
Slipknot,Marko Pavlovic,Music10,6fVE8kSM43I,0
Slipknot,joaofellipe999,"Que instrumental foda, amei essa música, fui conhecer só agora",LvetJ9U_tVY,1
Slipknot,Omarrandom,Slipknot Forever🤘❤,XEEasR7hVhA,0
Slipknot,SmartCache,Is it just me does Corey's voice sound so different.,AQ0ktXH3LfI,0
Slipknot,chris123,Lowkey clown looks cute here,mhJh5_6MuCk,0
Slipknot,OmarHyari,2:09 coreg taylor says the n word!? 1?!11?? 1!1?,ZPUZwriSX4M,0
Slipknot,jimmythatoneguy,always got silent hill end credits vibes from this song.,NSjUb-aRloY,0
Slipknot,Stackin,"Was trhisnhaedscprn 
Hahaah can this be a Sakkwsissia a ahahahaaahha",WLubS6QOMsQ,0
Slipknot,Jordan Delmonico,gnarly music video,XEEasR7hVhA,0
Slipknot,ГенийGD,Slipknot try to go death metall),Wn2w3j_xmbw,0
Slipknot,ABC,"This sounds so similar to Sepultura roots, particularly, the recurring riff, and the vocals.",5abamRO41fE,0
Slipknot,รัตนาภรณ์,ทรมารมากครับ,5abamRO41fE,0
Slipknot,Robo_BG,bro this song is soooo good my favorite from this album,vq-zaD1poAE,1
Slipknot,juego morboso,buenisimo,6fVE8kSM43I,0
Slipknot,berkay,holy lands of youtube,5abamRO41fE,0
Slipknot,Roby Virgiawan11,Gak ada matinya 🇮🇩🇮🇩,5abamRO41fE,1
Slipknot,Paul Kepshire,"2:24-2:39
Cheesus crust; everything reminds me of her...",vq-zaD1poAE,0
Slipknot,Paul Kepshire,"Once more for everybody in the back:
*I am the very disease you pretend to be.*",vq-zaD1poAE,0
Slipknot,Paul Kepshire,"(...no fate.)
Show you nothin', but I ain't holdin' back,
Every damn word I say is a sneak attack.
When I get my hands on you,
Ain't a fucking thing you can do!
Get this 'cause you're never gonna get me:
*I am the very disease you pretend to be.*",vq-zaD1poAE,0
Slipknot,Maria Fernanda Mendes de Oliveira,I want so bad going to a slipknot's show,dymAGwL2kQI,0
Slipknot,Aswan Katy,||||||||||||13,PAAvNmoqDq0,0
Slipknot,Aswan Katy,||||||||||||13,PAAvNmoqDq0,0
Slipknot,Aswan Katy,||||||||||||13,PAAvNmoqDq0,0
Slipknot,Aswan Katy,131313133434444444444,D1jQKpse7Yw,0
Slipknot,Aswan Katy,"BULIK BANGSAT KEKAMPUNG KUIN
ISFAHAN UI

Uiiiiiiiiiiiiii13131313",qw2LU1yS7aw,0
