performer,user_name,comment,video_id,likes_count
MarilynManson,Kaisar Leonardo Nitzsche,Reminds me of a joke Heino song on Instagram about a gypsy girl who fingerd him with her pinky finger,WTviW6w_-wI,0
MarilynManson,NightwishTarja,he promotion for this new era is nothing short of incredible,KRKsF17wY30,0
MarilynManson,Дмитрий Захаров,Это Я каждое утро...,VdV1Zc_PFdg,0
MarilynManson,NightwishTarja,"All these fools though him dead, be dead themselves, MM just returned from the dead",_BEgoKiJGQQ,0
MarilynManson,NightwishTarja,"somewhat looked at in a taboo way. Now, i realise in my older years",F9YJS4nTNsM,0
MarilynManson,NightwishTarja,ansons music must mean so much to hera lot to me too but look those tattoo,PSMj1C9B_JY,0
MarilynManson,daydreamer,A song about Lisa Marie Presley?,qAmUf-kK_l4,0
MarilynManson,NightwishTarja,Екс-президент США Джиммі Картер відмовився від лікування,rTDupUzDLBI,0
MarilynManson,SuperFlyingGlydon74,"This album doesn’t deserve all the hate it gets, (apart from Tattooed In Reverse) same goes for Born Villain, EAT ME, DRINK ME and High End Of Low",bsRwbf-nwAg,1
MarilynManson,stephen sheldon,Not a fan but luv this fuckin tune,bsRwbf-nwAg,0
MarilynManson,Paige Barnum,Baby I want you to teach me how to use a  and the piano.,C7VXrHLyUQk,1
MarilynManson,Samuel Hotene,Love it...this is powerful,VdV1Zc_PFdg,0
MarilynManson,Kennny Powers,приятный клип. ни4ё так ..,otSSwS_Nh9A,0
MarilynManson,John O'Rourke,"The footage of them dissing each other on stage, was well... staged.",ip27kY93gCA,1
MarilynManson,NightwishTarja,Felicidades y saludos desde la Ciudad de México Mr. Manson,VdV1Zc_PFdg,0
MarilynManson,John O'Rourke,"Man, this song really sounds like another song, the name of which I do not know. Can someone please enlighten me?",VdV1Zc_PFdg,1
MarilynManson,NightwishTarja,Good to see him still making socially relevant music smart guy and terrific,bmblT8_9-7U,0
MarilynManson,DeKyle,Выпивал 2 недели. Потом тяжко было;),VdV1Zc_PFdg,0
MarilynManson,NightwishTarja,pretty are always kept behind glass to defend herself from kids making,otSSwS_Nh9A,0
MarilynManson,NightwishTarja,"drives behind and the guitar just winks, the synth completes everything",AgH1zQBmv1Q,0
MarilynManson,Baştıray Yıltürk,"Why is this masterpiece so underrated?
Just 3m",sq0Ax_7qisk,0
MarilynManson,NightwishTarja,His voice is only becoming gold over the years! MM fan for life,WTviW6w_-wI,0
MarilynManson,Rone Silva,Você merece tudo tudo de bom obrigado ,VdV1Zc_PFdg,0
MarilynManson,NightwishTarja,"voice drives behind and the guitar just winks, the synth completes everythin",bsRwbf-nwAg,0
MarilynManson,Niccolò Da  Vela,MM is the best of THEM,WTviW6w_-wI,0
MarilynManson,Gayle McCrickerd,I don't know what I'd do without MM...The world fucked me and I navigated back to him ,sq0Ax_7qisk,0
MarilynManson,Gayle McCrickerd,When the system killed your heart and took your children and you stand broken screaming FUCK THE WORLD ,yTEW762-Ci0,0
MarilynManson,Flowers _ strawberries 🍓,I love Marilyn manson,VdV1Zc_PFdg,1
MarilynManson,Christopher Petralia,She a nimpho I'm done share her Cleveland giggling to myself dead! Doctor music said..scene out,FniF0kSvWGg,0
MarilynManson,NightwishTarja,"good old days - epic wars, razing entire towns, remorseless slaughter",sq0Ax_7qisk,0
MarilynManson,NightwishTarja,hat he can still deliver a great piece of work The guy lost his parent,6onWKxii50g,0
MarilynManson,NightwishTarja,aven't felt these goosebumps since Holy Woo! Keep kicking ass my dude,K7l3tIsRM7s,0
MarilynManson,Collateral Damage,"The last part is what I had inside me for a very few girls I dated till got married, including my wife. The only difference was it was/is a death dream for me. You never get appreciated for being nice and kind",qAmUf-kK_l4,0
MarilynManson,NightwishTarja,"yrically and musically, they are all masterpieces Will always be a fan",-8hmiVMNgII,0
MarilynManson,NightwishTarja,some of the darkest music will bring some people out of the darkest places,z-69izECa-g,0
MarilynManson,NightwishTarja,"I love listening to him talk in interviews, his voice sounds so good",i_jWjkFAG5E,0
MarilynManson,NightwishTarja,never forget all your fans who will never have the chance,ip27kY93gCA,0
MarilynManson,NightwishTarja,But Manson is on a whole other like dimension or level than any of those artists,ca07wR75-ko,0
MarilynManson,NightwishTarja,ppreciate the “everything’s fucked but that’s not so bad” vibe of this song,BDfvHtTUUqg,0
MarilynManson,Bat Man,My new favorite song…love how the bass drills,-8hmiVMNgII,0
MarilynManson,NightwishTarja,Love him or hate him I'm not sure how someone could not be deeply moved,9TqhGxfAwqI,0
MarilynManson,NightwishTarja,"approaching this sound our entire lives, mission is complete, respect is immesurable",C7VXrHLyUQk,0
MarilynManson,NightwishTarja,masterpiece by reminding us hes not washed up and here to give us good music,CVzLDAv6OwU,0
MarilynManson,Matthias Dehnert,Hammer Typ.....genial ist er,VdV1Zc_PFdg,0
MarilynManson,NightwishTarja,But I can already tell that this one is my favorite Classic Manson vibes,NE1HJLTML_Y,0
MarilynManson,NightwishTarja,Really needed this in my life right now. It's all gonna be okay folks,m3-TSKKRaJA,0
MarilynManson,NightwishTarja,51 years old and still rockin that goth look much respect to marilyn Manson,qAmUf-kK_l4,0
MarilynManson,Pete Francisco,Holy sh**!! How many bitches know that you are dead? Wooot!,FniF0kSvWGg,0
MarilynManson,NightwishTarja,Great respect for everything you do We stand with you and support you,d_ORhbC0BPg,0
MarilynManson,NightwishTarja,"can still listen with enjoyment almost as much as my angsty, hormonal teenage self",yTEW762-Ci0,0
MarilynManson,Rick Demention N-613,Every now and then He can explain what I want to say better then me..,CVzLDAv6OwU,0
MarilynManson,NightwishTarja,Great respect for everything you do We stand with you and support you,uhqm4vRW8qA,0
MarilynManson,NightwishTarja,"It’s so perfect from start to end and this song really speaks to me, thanks MM",FniF0kSvWGg,0
MarilynManson,Dena Mitchell,Slap of wrist 4 sum just ain't ENUF.  ,AgH1zQBmv1Q,0
MarilynManson,Dena Mitchell,Slap of wrist 4 sum just ain't ENUF.  ,AgH1zQBmv1Q,0
MarilynManson,Dena Mitchell,Slap of wrist 4 sum just ain't ENUF.  ,AgH1zQBmv1Q,0
MarilynManson,Dena Mitchell,Slap of wrist 4 sum just ain't ENUF.  ,AgH1zQBmv1Q,0
MarilynManson,Dena Mitchell,Slap of wrist 4 sum just ain't ENUF.  ,AgH1zQBmv1Q,0
MarilynManson,Dena Mitchell,Slap of wrist 4 sum just ain't ENUF.  ,AgH1zQBmv1Q,0
MarilynManson,José Wilson Sousa dos Santos,meio caminho um passo,C7VXrHLyUQk,0
MarilynManson,Bomb Voyage,"Not a Manson fan in general but even I have to admit, when he's good, he's VERY f##king good.",VdV1Zc_PFdg,0
MarilynManson,Sheila Lamonte,I love Marilyn Manson and I don't care who hates him.,VdV1Zc_PFdg,1
MarilynManson,Lampros Dimou,Shit is terrifying!!! cant stop listening! i already have my copy!,CVzLDAv6OwU,0
MarilynManson,Cameron Thomas,Is the nose plate Johnny Depp's Nose piece from The Libertine?,VdV1Zc_PFdg,0
MarilynManson,Fernanda Somenauer Garcia,His voice is amazing and this song is something else! His moves here are giving some Robert Smith vibes (Friday I'm in Love).,VdV1Zc_PFdg,0
MarilynManson,SamuelSlivka,"When I play marilyn manson, I know I'm at home, they just carry the problems I've been experiencing  ",VdV1Zc_PFdg,0
MarilynManson,Starr_Love619,I LOVE THIS MANS VOICE ,m3-TSKKRaJA,0
MarilynManson,Sixx2099,If only he had played the joker.,VdV1Zc_PFdg,0
MarilynManson,Lisa Marcos,"It's a shame what's happening to you, Marilyn. You probably won't even answer me. But if at any time you come to Argentina, you will get everything you want from me.",FniF0kSvWGg,0
MarilynManson,Lisa Marcos,"I can't wait  for you return with new songs, new vids and the most important, see you again. I love you MM, i hope you doing well.",FniF0kSvWGg,0
MarilynManson,"The Picture of DORIAN GRAY, A Dracula 2000 Edition",Wizard of Dark Delights. Bring me the head of the snake charmer....,VdV1Zc_PFdg,0
MarilynManson,daydreamer,"Call me crazy but I think this song is about his old friend Lisa Marie Presley. I think he loved her as more than a friend but like he sings ""I don't wanna be another bullet hole in the exit sign on your road"".",K7l3tIsRM7s,0
MarilynManson,Haacon,"Marilyn Manson,the greatest shock rocker in the world. He took the Alice Cooper show further and I love both of them.",sq0Ax_7qisk,0
MarilynManson,Jon Hylow,"Hey man, your vid iq score is 66.6 :D LOL",F9YJS4nTNsM,0
MarilynManson,Paige Barnum,How do you know that Daddy the song that was just played,CVzLDAv6OwU,1
MarilynManson,Manuel Luna,"I used too like him as an artist, i  wish he could come out and clear the alligations. . His a ghost now. Maybe in this song he was predicting his own demise .",CVzLDAv6OwU,0
MarilynManson,Alex G,i remember reading his bio yall remember the slingshot at church ?,FniF0kSvWGg,0
MarilynManson,Hi,we want you back marilyn <3,FniF0kSvWGg,0
MarilynManson,Christopher Petralia,"Yes I did a love potion on you baby, he giggling, where? I will never tell hahahaha laughing to myself right dig it up again baby said lmfao laughing my fcking arse off pinkie scene out so that's what yous want the owner of the house said..right Joe sort them out giggling ...",VdV1Zc_PFdg,0
