Key,Value
en,That's Tomorrow sorrow
en,"You wanna know what Zeus said to Narcissus...?
'you'd better watch yourself'"
en,When are you going to find Jesus?
en,Love this
en,Someone owes them an apology I think
en,Legend we love you
en,Touch my soul every time. This is Art and beautifull.
en,"Mr Mason I owe you a apology. I made a rude comment about one of your videos because I was blaming YOU for the evil around me.... And that's just wrong especially for someone who loves God. And I know how the church can screw over so many young because well there not the ideal student. Bottom line the church is the ones who love God not who make a spectacle once a week and expect to be saved for Nothing. He'll I went thru a phase when I blamed the evil one for my pain. But really deception has a role. So does evil before the start of something great. Christians today are soft, in love with money, and way too much idolatry. I don't think if My God as just someone on a cross. Yes it was beautiful sacrifice.  But I think maybe you are sensitive to the spirits like myself just from you music.  Down in the park is amazing so many other ones. I'm rambling. But anyways you know eventually the wolf will lay down with the lamb. It's eventual. The only question is who wants to do it and when. I want to make metal for God. That sounds crazy but can you imagine it???? Anyway peace be with you brother. I've been around enough people to know never judge a book buy its cover. And I'm sorry for that. Keep doing what makes you happy as long as it does not torture to many different people lol. May God bles us all"
en,Antibiotics for cold from Doc
en,I got antibiotics for this terrible cool. And I'm keeping the trailer warm. I Definitely put propane money aside... Yesterday is was Snowing here in Hemet CA. some people say that's odd for it to happen here and rn.
en,I only believe in things I seen to be real or yeah our connection is Very Real I never have felt that strongly connected EVER
en,And the aliens have always wanted me
en,This intro was supposed to be a placeholder for sonething better but they used this one bc they didn't care.
en,"His music saved my life.
I made fanart of him and he liked and commented on it.
He truly cares about his fans"
en,"I need this song, but don't want it : ("
en,I Love LOVE TEASING YOU.
en,The song is revealing the secrets
en,"My body doesnt work how it used to from the psychiatric abuse after the mafia cunts at UMG plagiarized parts of this from shit i did in my house. Manson is a mobster and a thief. I thought he was someone like me when i was a teenager, but now i know he's just another tool of this disgusting nation where everything i am is killed off while everything i hate most survives. There is one culture in the usa and it is sadistic abuse for any reason that anyone can find."
en,Thank you Manson Ashley comes ever time she hears this song....
en,Ashley loves me.....Marilyn call me.
en,Miss you Manson! We are with you!
en,The punisher season 2 brought me here
en,"Kind of depressing this is my Album on this earth? Isn't it?

I said goodbye to my father for now, the man I became. I hope to visit his temple this year, somewhere below this city.

I am DISCO.
We were chaos.
Yet, this broken needle sings
Will never play you again."
